FECHA,PLU,DETALLE,VENTA
19/04/2025,7790580327415,rocklet 40g,1800.0
27/12/2024,7790580346515,oblea leche 30g,1000.0
19/04/2025,7790580346614,oblea blanco 30g,1200.0
03/09/2024,7790580387006,sabor pizza,650.0
03/09/2024,7790580387105,sabor jamon,650.0
02/10/2024,7790580392604,turron de mani con chocolate 9,3500.0
20/12/2024,7790580415808,rocklets navidenos 120g,4500.0
14/03/2025,7790580421007,rocklets 20g,1000.0
04/12/2024,7790580423896,jugo polvo pomelo rosado 18g,300.0
26/03/2025,7790580428600,huevitos 60u,31000.0
07/10/2024,7790580454210,tres cremas ddl cho vai 1kg,9900.0
07/04/2025,7790580463403,huevo chocolate 20g,2300.0
26/02/2025,7790580471309,rellenos frutales 81g,10100.0
02/01/2025,7790580495893,postre cofler tres  500g,15300.0
23/04/2025,7790580567101,tomate cubeteado 400g,1600.0
14/04/2025,7790580567903,tomate perita lata 400g,1400.0
14/04/2025,7790580581602,huevo 56g,7900.0
05/02/2025,7790580587307,flics chicles fruta fruit 12.6,1000.0
26/02/2025,7790580602000,rollo frutales 35g,700.0
12/02/2025,7790580607210,chocolate leche 25g,1200.0
12/02/2025,7790580607418,chocolate blanco 25g,1200.0
26/02/2025,7790580617813,piecitos 30g,700.0
06/02/2025,7790580697303,pizza 100g cajita,1600.0
06/02/2025,7790580716707,jamon 100g cajita,1600.0
06/02/2025,7790580716806,calabresa 100g cajita,1600.0
06/02/2025,7790580717407,parmesano 100g cajitas,1600.0
22/04/2025,7790580739003,mister pops trompito twister,8500.0
03/07/2024,7790580775407,calabresa 30g,600.0
24/04/2025,7790590016286,fosforos 222Und.,1000.0
24/04/2025,7790590016293,fosforos 400u,1600.0
24/04/2025,7790590016439,fosforos222u,1000.0
29/04/2025,7790590016477,fosforo 222und,1000.0
23/10/2024,7790613000230,autobrillo incoloro 900ml,5000.0
23/10/2024,7790613000247,autobrillo rojo 900ml,5000.0
23/10/2024,7790613000254,autobrillo negro 900ml,5000.0
23/10/2024,7790613000315,lustramuebles clasico 360ml,3000.0
23/10/2024,7790613000322,lustramuebles lavanda 360ml,3000.0
23/10/2024,7790613001077,cera para madera incoloro,4200.0
23/10/2024,7790613001084,cera para madera roble claro,4200.0
23/10/2024,7790613001091,cera roble oscuro 425ml,4200.0
27/06/2024,7790613001381,limpador lavanda 900ml,1150.0
23/10/2024,7790613070851,cera en pasta roble claro,6500.0
22/11/2024,7790613071087,aotobrillo incoloro 400ml,2600.0
22/11/2024,7790613071100,autobrillo rojo 400ml,2600.0
23/10/2024,7790613071520,cera pasta incoloro,6500.0
23/10/2024,7790613071537,cera pasta roble claro,6500.0
23/10/2024,7790613071544,cera pasta roble oscuro,6500.0
27/06/2024,7790613071575,limpiador limon 900ml,1150.0
27/06/2024,7790613071582,limpiador pinos patagonico 900,1150.0
27/06/2024,7790613071599,limpiador flores primavera 900,1150.0
27/06/2024,7790613071711,limpiador citronella900ml,1150.0
22/11/2024,7790613071780,autobrillo pisos negro 400ml,2600.0
23/10/2024,7790613071797,lustra muebles naranja 294g,3000.0
28/10/2024,7790613071834,limpia parrillas en polvo 500g,3700.0
27/06/2024,7790613071995,limpiador oricinal 900ml,1150.0
06/05/2024,7790620000810,bolsas 10x60X90cm,2600.0
12/11/2024,7790625001409,salchicha X6U 200g,1100.0
16/02/2025,7790625010401,salchicha X6U. 190g,1100.0
01/04/2025,7790628000034,fauna surtido 400g,1600.0
14/03/2025,7790628102646,vainillas 320g,2000.0
14/03/2025,7790628102684,vainillas 80g,500.0
23/04/2025,7790628102714,fauna surtido 150g,600.0
22/10/2024,7790639002201,naranja,1800.0
06/11/2024,7790639002416,agua sin gas 2L,800.0
26/02/2025,7790639002560,agua sin gas 600ml,500.0
22/10/2024,7790639003437,cola classic,1800.0
22/10/2024,7790639003444,indian tonic classic,1800.0
22/10/2024,7790639003451,pomelo classic,1800.0
22/10/2024,7790639003468,lima limon classic,1800.0
22/10/2024,7790639003819,cola suave,1800.0
22/10/2024,7790639003826,indian tonic,1800.0
22/10/2024,7790639003833,lima limon suave light,1800.0
22/10/2024,7790639003857,pomelo suave,1800.0
17/04/2025,7790670001669,salchichas 6u,1000.0
25/09/2024,7790670050650,hamburguesas clasico 320g,4800.0
14/08/2024,7790670050827,medallones de carne320g,4700.0
08/05/2025,7790670051015,medallon carne 276g caja,2800.0
